topic_id,phi_sum,theta_sum,h,top_terms_rel,top_terms,label
0,2471.3390048367846,7.5198606341131775,8.45,machine soft fancied violently assured pocket apparently future,machine same darkness feeling fear minute soft creatures,0: machine soft fancied violently assured pocket apparently future
1,376.0163413340063,1.1591927301329814,8.1,pit invisible keeping afternoon hurrying action stick field,invisible pit imagine afternoon mr hundred four her,1: pit invisible keeping afternoon hurrying action stick field
2,2232.719565938638,2.3960147386480464,8.57,natural perfectly nature lot self wrong memories telling,natural your nature better position self says high,2: natural perfectly nature lot self wrong memories telling
3,12264.505749434926,20.88947672104611,8.99,shouting upward moving perceived voices beating passage tumult,wind shouting vast below space hall crowd ways,3: shouting upward moving perceived voices beating passage tumult
4,8629.071264216225,4.7078366641299345,8.67,modern public free money state pass says material,state modern earth public doubt free says sort,4: modern public free money state pass says material
5,1104.5939762598023,4.181277703776868,7.61,moon snow sun westward slope vain eastward shadow,moon sun earth snow glass westward shadow sky,5: moon snow sun westward slope vain eastward shadow
6,4260.585311684925,2.2581007964403,8.78,difference infinite true dreams perfect knowledge mental forms,your different sort says human her knowledge number,6: difference infinite true dreams perfect knowledge mental forms
7,10754.748667868946,5.380269464378363,8.61,rule race children class conditions type state women,state women rule race sort modern children order,7: rule race children class conditions type state women
8,2448.434585552843,2.2127605574363183,8.39,rooms train centre strike slight private interest beauty,shall london find women sort same beautiful earth,8: rooms train centre strike slight private interest beauty
9,2727.4264864023053,5.353268926761368,7.99,pleasure weary die cities trouble eh speaking speech,your days years city yes ive want die,9: pleasure weary die cities trouble eh speaking speech
10,876.5343150827194,2.4364413410780505,7.51,invisible glass visible box bed eat paper sleep,invisible glass room bed visible paper sleep because,10: invisible glass visible box bed eat paper sleep
11,13115.679369389658,10.5451471227525,8.78,energy system gold science century learnt years social,new years human social energy power science many,11: energy system gold science century learnt years social
12,6830.171242185001,17.3718172559253,8.47,locked door window doorway listening sharply shut rushed,door window house room street road corner ran,12: locked door window doorway listening sharply shut rushed
13,14049.07172238245,25.058670397955375,9.05,moon resumed beings perfectly answered cried brain finished,your moon cried sort why sat asked space,13: moon resumed beings perfectly answered cried brain finished
14,5418.3089525256055,5.233279769137377,5.53,she her love impulse girl met jumped dear,she her love together woman room met talk,14: she her love impulse girl met jumped dear
15,4672.032375355122,11.204508017092097,8.46,island creature pain animal stream law horrible creatures,island sea creature law dead trees water pain,15: island creature pain animal stream law horrible creatures
16,22580.59892367974,18.55157180124279,9.15,boy wasnt id isnt lord remember affair didnt,she her sort im remember london house thats,16: boy wasnt id isnt lord remember affair didnt
17,8047.1430242013885,20.382447603465607,8.82,pit heat smoke crept railway deserted weary fire,water smoke red pit trees houses sky road,17: pit heat smoke crept railway deserted weary fire
18,14493.941530005333,11.379962873043603,8.93,war flying cloud north east land country south,war new flying below machine country sky sea,18: war flying cloud north east land country south
19,2999.077591633618,8.778094881443838,7.95,mr hall empty village invisible hat steps ordinary,mr hall im invisible door empty sir story,19: mr hall empty village invisible hat steps ordinary
